"code","iso","country","CO2GDP.1990","CO2GDP.1991","CO2GDP.1992","CO2GDP.1993","CO2GDP.1994","CO2GDP.1995","CO2GDP.1996","CO2GDP.1997","CO2GDP.1998","CO2GDP.1999","CO2GDP.2000","CO2GDP.2001","CO2GDP.2002","CO2GDP.2003","CO2GDP.2004","CO2GDP.2005","CO2GDP.2006","CO2GDP.2007","CO2GDP.2008","CO2GDP.2009","CO2GDP.2010"
4,"AFG","Afghanistan",192.02421201526,176.004537391324,91.5079770502388,86.8080163990477,83.2830459106545,79.9892210280574,75.5139852713906,69.870180063198,66.3387888635326,51.7573535645506,48.6946742877499,39.9946105140287,23.056774178179,33.7826854903612,41.1050159653328,48.4231970994332,56.5307548296945,71.8976280486178,135.647579772482,185.936402581684,177.68393201183
8,"ALB","Albania",744.226693984095,662.456443596029,375.888181610754,306.348873301256,301.798220812018,216.283776210267,196.136118888829,161.713097348536,162.943109449157,256.57164126137,243.731128136963,227.075340127794,255.234168115716,258.125655330669,256.770134093232,235.027696361702,186.459054217388,184.732162961479,162.041493036469,137.363363432914,135.954593261576
12,"DZA","Algeria",630.877947344306,609.922288060307,591.629188310072,632.877439474492,616.767144860848,600.319705932321,549.021065675341,537.342349670729,524.568762402851,520.404761301118,506.17184275065,454.285003500205,451.178572011158,435.703397429511,408.143112437591,391.706926023167,403.853590937656,413.785462340743,404.531027570379,424.295934330562,330.066267743113
16,"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",284.443155577429,285.778225770869,287.595219726215,406.818841956588,372.185295513361,526.464101718899,491.290923571301,459.920475284879,421.131480426162,438.637493238375,418.241518958951,420.866229612026,383.576330838428,471.367357323089,457.346436093283,350.428120914654,306.114446203551,277.503937578407,254.02643102136,259.350752480363,151.740634900346
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",458.549307576701,424.065549742962,411.824563892993,401.556519486371,374.452748040886,395.38025131849,363.97091395126,355.976230394838,332.534505127745,328.633996832187,301.147007568204,303.95452435043,306.127865811437,301.223152362969,292.42481364738,269.147161004955,239.130721005569,217.726536776168,218.235082028701,254.02222585979,389.286935332474
32,"ARG","Argentina",644.408551393099,567.759872291192,521.593986246957,471.052818513315,459.271684116282,458.609053649212,451.963458754189,422.032924367138,402.172592186219,417.114214106695,410.368677273807,387.958205800904,406.465491224423,389.554170878532,414.007720303213,364.540900944758,357.066768402499,364.095492434818,383.958490075428,369.020160319189,362.83885598341
51,"ARM","Armenia",2759.73941831112,3175.99076163902,2677.92609690453,1345.93826256573,687.324025930542,789.77996651012,547.499975353996,655.286065666778,626.430813704402,535.941723582075,560.340279384757,511.56534046381,379.796363640131,366.016676716403,347.441961513654,351.956771140008,303.316885413864,299.758363724059,300.748888815653,285.069280641909,240.227361088075
