"code","iso","country","CO2KWH.1990","CO2KWH.1991","CO2KWH.1992","CO2KWH.1993","CO2KWH.1994","CO2KWH.1995","CO2KWH.1996","CO2KWH.1997","CO2KWH.1998","CO2KWH.1999","CO2KWH.2000","CO2KWH.2001","CO2KWH.2002","CO2KWH.2003","CO2KWH.2004","CO2KWH.2005","CO2KWH.2006","CO2KWH.2007","CO2KWH.2008","CO2KWH.2009","CO2KWH.2010"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",133.676092544987,78.9473684210526,50.1392757660167,81.2182741116751,85.9030837004405,37.4449339207048,23.2945091514143,20.9923664122137,17.6470588235294,33.1491712707182,46.218487394958,59.1397849462366,46.070460704607,34.0681362725451,30.3030303030303,25.7352941176471,25.3623188405797,31.4685314685315,0,1.91938579654511,2.63852242744063
12,"DZA","Algeria",586.335403726708,572.664359861592,565.882996172772,564.657393096342,587.525150905433,606.997971602434,583.050847457627,590.697674418605,610.49011177988,607.835218093699,605.273514364423,608.711978971085,623.508137432188,620.561379776801,620.16,594.514892362135,609.99148453023,585.752688172043,584.990059642147,635.602094240838,536.874451273046
16,"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",261.904761904762,182.795698924731,126.315789473684,105.263157894737,157.894736842105,145.833333333333,155.339805825243,200,166.666666666667,305.970149253731,351.724137931034,353.658536585366,329.545454545455,335,192.825112107623,179.21146953405,172.205438066465,198.757763975155,216.346153846154,305.907172995781,290.874524714829
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",301.734331888057,334.576650503543,305.833929849678,273.790191620656,250.27861805445,193.225902715607,301.047496053953,261.825726141079,279.151466018106,311.544675034174,277.1341806321,208.522916435468,189.816459443458,208.953602086276,240.015974440895,248.364773912219,294.105586878524,312.391430225825,296.299342105263,290.600393700787,290.67539517803
51,"ARM","Armenia",418.395573997234,569.63890935888,398.018166804294,109.607577807848,126.934984520124,213.292117465224,220.461095100865,263.235294117647,258.720930232558,224.806201550388,235.555555555556,242.857142857143,152.941176470588,147.457627118644,119.309262166405,137.628111273792,138.461538461538,164.133738601824,163.751987281399,107.744107744108,95.0226244343891
