"code","iso","country","HAP.1990","HAP.2000","HAP.2010"
4,"AFG","Afghanistan",98,91,85
8,"ALB","Albania",64,50,39
12,"DZA","Algeria",14,5,0
16,"ASM","American Samoa",NA,NA,NA
20,"AND","Andorra",5,5,5
24,"AGO","Angola",98,84,55
660,"AIA","Anguilla",NA,NA,NA
28,"ATG","Antigua and Barbuda",14,5,0
32,"ARG","Argentina",17,6,0
51,"ARM","Armenia",85,50,19
533,"ABW","Aruba",NA,NA,NA
36,"AUS","Australia",5,5,5
40,"AUT","Austria",5,5,5
31,"AZE","Azerbaijan",52,28,7
44,"BHS","Bahamas",5,5,5
48,"BHR","Bahrain",5,5,5
50,"BGD","Bangladesh",91,89,91
52,"BRB","Barbados",3,0,0
112,"BLR","Belarus",19,8,0
56,"BEL","Belgium",5,5,5
84,"BLZ","Belize",29,19,12
204,"BEN","Benin",98,94,91
60,"BMU","Bermuda",NA,NA,NA
64,"BTN","Bhutan",78,58,40
68,"BOL","Bolivia",45,36,29
70,"BIH","Bosnia and Herzegovina",58,50,45
72,"BWA","Botswana",65,50,37
76,"BRA","Brazil",19,11,6
92,"VGB","British Virgin Islands",NA,NA,NA
96,"BRN","Brunei Darussalam",5,5,5
100,"BGR","Bulgaria",23,13,7
854,"BFA","Burkina Faso",98,98,92
108,"BDI","Burundi",98,98,96
116,"KHM","Cambodia",98,94,89
120,"CMR","Cameroon",94,83,75
124,"CAN","Canada",5,5,5
132,"CPV","Cape Verde",49,39,32
136,"CYM","Cayman Islands",NA,NA,NA
140,"CAF","Central African Republic",98,98,96
148,"TCD","Chad",98,96,88
152,"CHL","Chile",24,14,6
156,"CHN","China",64,53,46
170,"COL","Colombia",26,19,14
174,"COM","Comoros",89,79,71
178,"COG","Congo",97,86,77
184,"COK","Cook Islands",23,12,4
188,"CRI","Costa Rica",23,13,6
384,"CIV","Cote d'Ivoire",87,81,78
191,"HRV","Croatia",27,16,8
192,"CUB","Cuba",7,6,9
196,"CYP","Cyprus",5,5,5
203,"CZE","Czech Republic",18,6,0
180,"COD","Dem. Rep. Congo",98,98,93
208,"DNK","Denmark",5,5,5
262,"DJI","Djibouti",16,13,13
212,"DMA","Dominica",42,20,1
214,"DOM","Dominican Republic",37,20,7
218,"ECU","Ecuador",27,13,2
818,"EGY","Egypt",7,1,0
222,"SLV","El Salvador",50,35,22
226,"GNQ","Equatorial Guinea",82,79,77
232,"ERI","Eritrea",86,72,60
233,"EST","Estonia",28,18,11
231,"ETH","Ethiopia",93,94,98
234,"FRO","Faeroe Islands",NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA
242,"FJI","Fiji",55,44,37
246,"FIN","Finland",5,5,5
250,"FRA","France",5,5,5
254,"GUF","French Guiana",NA,NA,NA
258,"PYF","French Polynesia",NA,NA,NA
266,"GAB","Gabon",50,36,26
270,"GMB","Gambia",98,96,91
268,"GEO","Georgia",55,49,46
276,"DEU","Germany",5,5,5
288,"GHA","Ghana",98,91,84
292,"GIB","Gibraltar",NA,NA,NA
300,"GRC","Greece",5,5,5
304,"GRL","Greenland",NA,NA,NA
308,"GRD","Grenada",31,11,0
312,"GLP","Guadeloupe",NA,NA,NA
316,"GUM","Guam",NA,NA,NA
320,"GTM","Guatemala",64,59,57
324,"GIN","Guinea",98,98,97
624,"GNB","Guinea-Bissau",98,97,98
328,"GUY","Guyana",26,15,7
332,"HTI","Haiti",98,94,91
336,"VAT","Holy See",NA,NA,NA
340,"HND","Honduras",68,58,51
344,"HKG","Hong Kong",NA,NA,NA
348,"HUN","Hungary",2,0,5
352,"ISL","Iceland",5,5,5
356,"IND","India",87,71,58
