"code","iso","country","PACOVD.1990","PACOVD.1991","PACOVD.1992","PACOVD.1993","PACOVD.1994","PACOVD.1995","PACOVD.1996","PACOVD.1997","PACOVD.1998","PACOVD.1999","PACOVD.2000","PACOVD.2001","PACOVD.2002","PACOVD.2003","PACOVD.2004","PACOVD.2005","PACOVD.2006","PACOVD.2007","PACOVD.2008","PACOVD.2009","PACOVD.2010","PACOVD.2011","PACOVD.2012"
4,"AFG","Afghanistan",0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.279895027,0.372890636,0.372890636,0.372890636,0.372890636
8,"ALB","Albania",3.15801597,3.15801597,3.15801597,3.15801597,3.15801597,3.41132483,3.41132483,5.003005155,5.003005155,7.050579359,7.050579359,7.050579359,7.212233583,7.212233583,9.953079585,9.051153838,9.953079585,9.953079585,9.994941409,9.994941409,9.994941409,9.994941409,9.994941409
12,"DZA","Algeria",6.308555287,6.308555287,6.308555287,6.309562313,6.309562313,6.309562313,6.309562313,6.309562313,6.309562313,6.309562313,6.309562313,6.309562313,6.309562313,6.309599307,6.309599307,6.309599307,6.309599307,6.309599307,6.309599307,6.309599307,6.309599307,6.309599307,6.309599307
16,"ASM","American Samoa",0.915376375,0.915376375,0.915376375,0.915376375,0.915376375,1.207517772,1.207517772,1.207517772,1.207517772,1.207517772,1.207517772,1.499659168,1.538611355,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773
20,"AND","Andorra",5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308
24,"AGO","Angola",11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696,11.14190696
660,"AIA","Anguilla",0,0,0,4.178106721,4.178106721,4.178106721,4.178106721,4.178106721,4.178106721,4.178106721,4.178106721,4.178106721,4.178106721,4.178106721,4.178106721,4.178106721,4.178106721,5.025665513,5.025665513,5.025665513,5.025665513,5.025665513,5.025665513
28,"ATG","Antigua and Barbuda",5.824014059,5.824014059,5.824014059,5.951821253,5.951821253,5.951821253,5.951821253,5.951821253,5.951821253,5.951821253,5.951821253,5.951821253,5.951821253,5.951821253,6.460767756,6.460767756,6.460767756,6.460767756,6.460767756,6.460767756,6.460767756,6.460767756,6.460767756
32,"ARG","Argentina",4.082508464,4.082508464,4.591435337,4.683221979,4.683221979,4.769818683,4.769818683,4.941850706,4.941859678,4.941859678,4.941859678,4.947385539,4.947385539,4.947385539,4.947385539,4.947385539,4.947385539,4.947385539,4.947385539,4.947385539,4.947385539,4.947385539,4.947385539
51,"ARM","Armenia",11.1102338,11.1102338,11.1102338,11.1102338,11.1102338,11.1102338,11.1102338,11.1102338,11.1102338,11.1102338,11.1102338,11.1102338,12.43389778,12.43389778,12.43389778,12.43389778,12.43389778,12.43389778,12.43389778,12.43389778,12.43389778,12.43389778,12.43389778
533,"ABW","Aruba",0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302,0.032783302
36,"AUS","Australia",6.61444539,6.61444539,7.128525449,7.181778887,7.181778887,7.567812654,7.567812654,7.714171603,7.963365073,8.110767897,8.539089619,8.588218105,10.04593746,10.13952913,10.5036099,10.34992866,10.5036099,11.28925468,11.43813142,11.9159927,12.24700693,12.24975646,12.24975646
40,"AUT","Austria",14.34202063,14.34202063,14.34883993,14.36650811,14.36650811,14.3744123,14.3744123,14.5544561,14.56643756,14.6884577,14.71586604,14.72002677,14.72002677,14.72002677,14.72002677,14.72002677,14.72002677,14.72002677,14.72002677,14.72002677,14.72002677,14.72002677,14.72002677
31,"AZE","Azerbaijan",9.297274134,9.297274134,9.297274134,9.417606542,9.417606542,9.417606542,9.417606542,9.417606542,9.417606542,9.417606542,9.417606542,9.417606542,9.417606542,9.501188215,9.972962659,9.972962659,9.972962659,9.972962659,9.972962659,9.972962659,9.972962659,9.972962659,9.972962659
44,"BHS","Bahamas",6.073960486,6.073960486,6.076935147,6.076935147,6.076935147,7.358047313,7.358047313,7.358047313,7.358047313,7.358047313,7.358047313,7.358047313,13.52280933,13.52280933,13.52280933,13.52280933,13.52280933,13.52280933,13.52280933,13.52280933,13.52280933,13.52280933,13.52280933
48,"BHR","Bahrain",1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794
50,"BGD","Bangladesh",1.085439054,1.085439054,1.085439054,1.085439054,1.085439054,1.085439054,1.085439054,1.712522932,1.712522932,1.754014305,1.754014305,1.819856493,1.819856493,1.819856493,1.829966687,1.824332322,1.829966687,1.839558778,1.839558778,1.839558778,1.913532297,1.913532297,1.913532297
52,"BRB","Barbados",0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478
112,"BLR","Belarus",6.424529227,6.424529227,6.526781538,6.619069642,6.619069642,6.961108243,6.961108243,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595
56,"BEL","Belgium",4.577684158,4.577684158,4.603978027,4.642372309,4.642372309,4.909889536,4.909889536,6.623438761,7.058007088,7.441622868,8.015444051,12.7926215,12.83386101,14.59970364,14.6567391,14.64872666,14.6567391,14.66350879,14.67420293,14.67528216,14.67708087,14.67708087,14.67708087
84,"BLZ","Belize",15.51251054,15.51251054,15.51251054,15.60682205,15.60682205,16.21644943,16.21644943,16.44982737,16.68963769,16.68963769,16.7411874,16.89502115,16.94036496,16.94036496,16.94099914,16.94099914,16.94099914,16.95979802,16.95979802,16.95984332,16.98887967,16.98887967,16.98887967
204,"BEN","Benin",16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072,16.80554072
60,"BMU","Bermuda",5.268214572,5.268214572,5.268214572,5.412329864,5.412329864,5.412329864,5.412329864,5.412329864,5.412329864,5.412329864,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105
64,"BTN","Bhutan",11.11659619,11.11659619,11.11659619,13.3650922,13.3650922,15.56694747,15.56694747,15.56694747,16.13577791,16.13577791,16.13577791,16.13577791,16.13577791,16.13577791,16.13577791,16.13577791,16.13577791,16.13577791,16.13577791,16.13577791,16.13577791,16.13577791,16.13577791
68,"BOL","Bolivia",8.747630272,8.747630272,9.24255482,9.299261341,9.299261341,13.81980956,13.81980956,16.03921275,16.03921275,16.03921275,16.05293127,16.05293127,16.05293127,16.05293127,16.27459577,16.27459577,16.27459577,16.27459577,16.27459577,16.27459577,16.27459577,16.27459577,16.27459577
70,"BIH","Bosnia and Herzegovina",0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.41202185,0.424993148,0.424993148,0.424993148,0.424993148,0.424993148,0.424993148,0.424993148,0.424993148,0.424993148
72,"BWA","Botswana",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
76,"BRA","Brazil",6.963403108,6.963403108,6.963403108,7.591533789,7.591533789,9.049429284,9.049429284,10.69759218,12.00954688,12.83451618,12.98991282,13.39192551,13.68214421,13.69209088,13.93037431,13.72576629,13.93037431,13.93614659,13.9783512,14.00009289,14.00747523,14.00747523,14.00747523
