"code","iso","country","PM25EXBL.2000","PM25EXBL.2001","PM25EXBL.2002","PM25EXBL.2003","PM25EXBL.2004","PM25EXBL.2005","PM25EXBL.2006","PM25EXBL.2007","PM25EXBL.2008","PM25EXBL.2009","PM25EXBL.2010","PM25EXBL.2011","PM25EXBL.2012"
4,"AFG","Afghanistan",0.09,0.1275,0.1525,0.1525,0.135,0.1475,0.1475,0.145,0.125,0.1175,0.1225,0.135,0.155
8,"ALB","Albania",0.3325,0.2825,0.3025,0.305,0.295,0.265,0.2575,0.28,0.265,0.2775,0.255,0.2975,0.27
12,"DZA","Algeria",0.05,0.04,0.05,0.055,0.065,0.0525,0.0275,0.0275,0.02,0.0175,0.0175,0.015,0.015
16,"ASM","American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0
20,"AND","Andorra",0,0,0,0,0,0,0.205,0.3475,0.36,0.0125,0.01,0.01,0.02
24,"AGO","Angola",0.0475,0.0325,0.0225,0.025,0.02,0.02,0.02,0.03,0.03,0.0375,0.0375,0.05,0.05
660,"AIA","Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0
28,"ATG","Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0
32,"ARG","Argentina",0.0075,0.005,0,0,0,0,0,0.005,0.0075,0.0075,0.0075,0.0075,0.0075
51,"ARM","Armenia",0.2375,0.2375,0.2675,0.31,0.32,0.3475,0.305,0.3625,0.2775,0.3475,0.265,0.37,0.2475
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0
36,"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0
40,"AUT","Austria",0.4025,0.365,0.365,0.4025,0.4025,0.425,0.4225,0.41,0.285,0.2825,0.25,0.34,0.31
31,"AZE","Azerbaijan",0.245,0.21,0.1875,0.1375,0.12,0.125,0.14,0.165,0.16,0.1775,0.1675,0.19,0.18
44,"BHS","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0
48,"BHR","Bahrain",0.0825,0.1675,0.1675,0.1675,0.1675,0.25,0.25,0.25,0.25,0.3325,0.3325,0.3325,0.3325
50,"BGD","Bangladesh",0.3975,0.4275,0.465,0.5125,0.55,0.565,0.5875,0.6325,0.6675,0.695,0.72,0.7175,0.7325
52,"BRB","Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0
112,"BLR","Belarus",0.405,0.3775,0.38,0.42,0.375,0.3275,0.395,0.3925,0.3,0.22,0.285,0.3,0.2775
56,"BEL","Belgium",0.4025,0.365,0.375,0.4325,0.465,0.46,0.46,0.4175,0.38,0.375,0.3775,0.4225,0.4025
84,"BLZ","Belize",0.1025,0.005,0,0,0,0.015,0,0,0,0,0,0.0025,0
204,"BEN","Benin",0.0325,0.0425,0.065,0.0775,0.0775,0.125,0.15,0.115,0.075,0.045,0.0625,0.0675,0.0475
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0
64,"BTN","Bhutan",0.175,0.29,0.225,0.2875,0.2525,0.315,0.355,0.3325,0.3775,0.45,0.52,0.5525,0.5275
68,"BOL","Bolivia",0.05,0,0,0,0.0025,0.01,0.0175,0.0275,0.015,0,0,0.01,0.0325
70,"BIH","Bosnia and Herzegovina",0.2875,0.2675,0.26,0.265,0.255,0.3025,0.3225,0.315,0.21,0.185,0.215,0.245,0.235
72,"BWA","Botswana",0.0025,0,0,0,0,0,0,0,0,0,0,0,0
76,"BRA","Brazil",0.035,0.0175,0.01,0.0125,0.0025,0.005,0.005,0.01,0.0025,0.0025,0.0025,0.005,0.0075
92,"VGB","British Virgin Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
96,"BRN","Brunei Darussalam",0.035,0.0075,0.01,0.005,0.015,0.0175,0.03,0.0175,0.015,0.0275,0.005,0.085,0.0775
100,"BGR","Bulgaria",0.405,0.3825,0.4075,0.43,0.415,0.4025,0.425,0.415,0.32,0.295,0.27,0.3225,0.295
854,"BFA","Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0
108,"BDI","Burundi",0.1325,0.065,0.0475,0.035,0.0375,0.0725,0.0675,0.115,0.0375,0.05,0.065,0.135,0.15
116,"KHM","Cambodia",0.005,0,0.005,0.005,0.0175,0.055,0.0675,0.05,0.04,0.04,0.04,0.0825,0.115
120,"CMR","Cameroon",0.0275,0.0175,0.0175,0.0175,0.03,0.05,0.06,0.0475,0.03,0.0275,0.04,0.03,0.025
124,"CAN","Canada",0.1,0.0925,0.115,0.11,0.13,0.11,0.1075,0.09,0.0525,0.0375,0.025,0.02,0.01
132,"CPV","Cape Verde",0,0,0,0,0,0,0,0,0,0,0,0,0
136,"CYM","Cayman Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
140,"CAF","Central African Republic",0.0575,0.045,0.02,0.0275,0.0325,0.06,0.065,0.0625,0.09,0.0675,0.0425,0.03,0.0275
148,"TCD","Chad",0,0,0,0,0.0025,0.0025,0.0025,0.0025,0.0025,0,0.0025,0.0025,0.0025
152,"CHL","Chile",0.0275,0.0275,0.0275,0.0275,0.025,0.0325,0.0325,0.04,0.035,0.035,0.0325,0.03,0.025
156,"CHN","China",0.6925,0.7225,0.755,0.785,0.7975,0.8275,0.84,0.8525,0.85,0.85,0.8375,0.845,0.8475
170,"COL","Colombia",0.0225,0.005,0.0025,0.01,0.0025,0.005,0.0025,0.005,0.0025,0.0025,0.0025,0.005,0.005
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0
178,"COG","Congo",0.325,0.245,0.235,0.2225,0.1625,0.155,0.1425,0.09,0.0375,0.0225,0.02,0.0175,0.01
184,"COK","Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
188,"CRI","Costa Rica",0.0125,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025
384,"CIV","Cote d'Ivoire",0.0575,0.0175,0.02,0.0275,0.035,0.0375,0.04,0.035,0.0125,0.0075,0.01,0.0075,0.0025
191,"HRV","Croatia",0.4025,0.385,0.395,0.41,0.4025,0.415,0.4175,0.4125,0.295,0.255,0.2175,0.3025,0.3
192,"CUB","Cuba",0.005,0,0,0,0,0,0,0,0,0,0,0,0
196,"CYP","Cyprus",0.2075,0.2425,0.235,0.22,0.2275,0.235,0.2375,0.225,0.22,0.215,0.215,0.22,0.22
203,"CZE","Czech Republic",0.4175,0.415,0.4475,0.4775,0.4725,0.4725,0.47,0.4475,0.3325,0.3,0.315,0.37,0.365
180,"COD","Dem. Rep. Congo",0.235,0.1825,0.16,0.155,0.1675,0.195,0.1925,0.185,0.175,0.1825,0.1725,0.175,0.205
208,"DNK","Denmark",0.2,0.19,0.19,0.2325,0.2125,0.16,0.15,0.15,0.1025,0.0775,0.08,0.12,0.115
262,"DJI","Djibouti",0,0,0,0.005,0.005,0.0075,0.0075,0.0175,0.0225,0.1675,0.0525,0.0475,0.0475
212,"DMA","Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0
214,"DOM","Dominican Republic",0.015,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025
218,"ECU","Ecuador",0.18,0.0375,0.0275,0.0175,0.01,0.0125,0.0275,0.03,0.0075,0.005,0.0025,0.005,0.025
818,"EGY","Egypt",0.41,0.4175,0.4075,0.425,0.425,0.425,0.4325,0.43,0.4225,0.3475,0.3225,0.37,0.425
222,"SLV","El Salvador",0.0025,0,0.0025,0.0025,0,0.01,0.0025,0.0025,0,0,0,0,0.0025
226,"GNQ","Equatorial Guinea",0.0075,0.02,0.0025,0,0,0,0.0025,0.005,0,0,0.0025,0.0025,0.005
232,"ERI","Eritrea",0.035,0.0275,0.03,0.0325,0.0325,0.04,0.0475,0.05,0.04,0.04,0.04,0.0375,0.0375
233,"EST","Estonia",0.0225,0.01,0.0175,0.02,0.0125,0,0.0025,0.0075,0.0475,0.0075,0.0075,0.0025,0.0025
231,"ETH","Ethiopia",0.015,0.0075,0.0075,0.005,0.0075,0.0075,0.0125,0.0175,0.0125,0.015,0.01,0.01,0.01
234,"FRO","Faeroe Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
242,"FJI","Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0
246,"FIN","Finland",0.0025,0.0025,0,0,0,0,0.0025,0.005,0.0075,0,0,0,0
250,"FRA","France",0.2375,0.1975,0.1925,0.2175,0.215,0.205,0.21,0.2125,0.195,0.1725,0.1525,0.1675,0.1575
254,"GUF","French Guiana",0,0,0,0,0,0,0,0,0,0,0,0,0
258,"PYF","French Polynesia",0,0,0,0,0,0,0,0,0,0,0,0,0
266,"GAB","Gabon",0.12,0.075,0.02,0.01,0.0025,0.005,0.0025,0.0075,0.01,0.0025,0.0075,0.005,0.0075
270,"GMB","Gambia",0,0,0,0,0,0,0,0,0,0,0,0,0
268,"GEO","Georgia",0.18,0.175,0.1625,0.175,0.17,0.2125,0.18,0.1975,0.1675,0.2075,0.1675,0.2225,0.16
276,"DEU","Germany",0.37,0.3375,0.355,0.4225,0.4275,0.42,0.4125,0.385,0.275,0.2575,0.2575,0.315,0.29
288,"GHA","Ghana",0.03,0.0125,0.035,0.03,0.03,0.035,0.0725,0.07,0.0275,0.0375,0.06,0.0575,0.0475
292,"GIB","Gibraltar",0,0,0,0,0,0,0,0,0,0,0,0,0
300,"GRC","Greece",0.26,0.2225,0.235,0.2725,0.27,0.2625,0.25,0.245,0.22,0.195,0.1725,0.2025,0.1975
304,"GRL","Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0
308,"GRD","Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0
312,"GLP","Guadeloupe",0,0,0,0,0,0,0,0,0,0,0,0,0
316,"GUM","Guam",0,0,0,0,0,0,0,0,0,0,0,0,0
320,"GTM","Guatemala",0.0225,0.005,0.0125,0.0175,0.0125,0.0275,0.0125,0.035,0.0175,0.015,0.005,0.01,0.0125
324,"GIN","Guinea",0.0125,0.0075,0.0375,0.0475,0.0475,0.045,0.0425,0.035,0,0,0.0025,0.0025,0
624,"GNB","Guinea-Bissau",0.0075,0,0.005,0.005,0,0,0.005,0.005,0,0,0,0,0
328,"GUY","Guyana",0.005,0,0,0,0,0,0,0,0,0,0.0025,0.0025,0.0025
332,"HTI","Haiti",0.0075,0.0025,0,0,0,0,0.0025,0,0,0,0,0,0
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",0.065,0.0175,0.0125,0.01,0.0025,0.0325,0.0025,0.0025,0.0025,0.0025,0.0025,0.005,0.0025
