"code","iso","country","POPSIGRAT.2001","POPSIGRAT.2002","POPSIGRAT.2003","POPSIGRAT.2004","POPSIGRAT.2005","POPSIGRAT.2006","POPSIGRAT.2007","POPSIGRAT.2008","POPSIGRAT.2009","POPSIGRAT.2010","POPSIGRAT.2011","POPSIGRAT.2012"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",1,1,1,3,3,3,3,3,3,3,3,3
12,"DZA","Algeria",1,1,1,1,1,3,3,3,3,3,3,3
16,"ASM","American Samoa",0,0,0,0,0,0,0,0,0,0,0,0
20,"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0
24,"AGO","Angola",0,0,0,0,0,3,3,3,3,3,3,3
660,"AIA","Anguilla",0,0,0,0,0,0,0,0,0,0,0,0
28,"ATG","Antigua and Barbuda",1,1,3,3,3,3,3,3,3,3,3,3
32,"ARG","Argentina",1,1,1,1,3,3,3,3,3,3,3,3
51,"ARM","Armenia",1,1,3,3,3,3,3,3,3,3,3,3
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0
36,"AUS","Australia",1,1,1,3,3,3,3,3,3,3,3,3
40,"AUT","Austria",1,3,3,3,3,3,3,3,3,3,3,3
31,"AZE","Azerbaijan",0,0,0,3,3,3,3,3,3,3,3,3
44,"BHS","Bahamas",0,1,1,1,3,3,3,3,3,3,3,3
48,"BHR","Bahrain",0,1,1,1,1,3,3,3,3,3,3,3
50,"BGD","Bangladesh",1,1,1,1,1,1,3,3,3,3,3,3
52,"BRB","Barbados",0,0,0,3,3,3,3,3,3,3,3,3
112,"BLR","Belarus",0,0,0,3,3,3,3,3,3,3,3,3
56,"BEL","Belgium",1,1,1,1,1,3,3,3,3,3,3,3
84,"BLZ","Belize",0,1,1,1,1,1,1,1,1,3,3,3
204,"BEN","Benin",1,1,1,3,3,3,3,3,3,3,3,3
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0
64,"BTN","Bhutan",0,0,0,0,0,0,0,0,0,0,0,0
68,"BOL","Bolivia",1,1,3,3,3,3,3,3,3,3,3,3
70,"BIH","Bosnia and Herzegovina",1,1,1,1,1,1,1,1,1,3,3,3
72,"BWA","Botswana",0,3,3,3,3,3,3,3,3,3,3,3
76,"BRA","Brazil",1,1,1,3,3,3,3,3,3,3,3,3
92,"VGB","British Virgin Islands",0,0,0,0,0,0,0,0,0,0,0,0
96,"BRN","Brunei Darussalam",0,1,1,1,1,1,1,1,1,1,1,1
100,"BGR","Bulgaria",1,1,1,3,3,3,3,3,3,3,3,3
854,"BFA","Burkina Faso",1,1,1,3,3,3,3,3,3,3,3,3
108,"BDI","Burundi",0,1,1,1,3,3,3,3,3,3,3,3
116,"KHM","Cambodia",1,1,1,1,1,3,3,3,3,3,3,3
120,"CMR","Cameroon",1,1,1,1,1,1,1,1,3,3,3,3
124,"CAN","Canada",3,3,3,3,3,3,3,3,3,3,3,3
132,"CPV","Cape Verde",0,0,0,0,0,3,3,3,3,3,3,3
136,"CYM","Cayman Islands",0,0,0,0,0,0,0,0,0,0,0,0
140,"CAF","Central African Republic",0,1,1,1,1,1,1,3,3,3,3,3
