code,iso,country,TCEEZ.1950,TCEEZ.1951,TCEEZ.1952,TCEEZ.1953,TCEEZ.1954,TCEEZ.1955,TCEEZ.1956,TCEEZ.1957,TCEEZ.1958,TCEEZ.1959,TCEEZ.1960,TCEEZ.1961,TCEEZ.1962,TCEEZ.1963,TCEEZ.1964,TCEEZ.1965,TCEEZ.1966,TCEEZ.1967,TCEEZ.1968,TCEEZ.1969,TCEEZ.1970,TCEEZ.1971,TCEEZ.1972,TCEEZ.1973,TCEEZ.1974,TCEEZ.1975,TCEEZ.1976,TCEEZ.1977,TCEEZ.1978,TCEEZ.1979,TCEEZ.1980,TCEEZ.1981,TCEEZ.1982,TCEEZ.1983,TCEEZ.1984,TCEEZ.1985,TCEEZ.1986,TCEEZ.1987,TCEEZ.1988,TCEEZ.1989,TCEEZ.1990,TCEEZ.1991,TCEEZ.1992,TCEEZ.1993,TCEEZ.1994,TCEEZ.1995,TCEEZ.1996,TCEEZ.1997,TCEEZ.1998,TCEEZ.1999,TCEEZ.2000,TCEEZ.2001,TCEEZ.2002,TCEEZ.2003,TCEEZ.2004,TCEEZ.2005,TCEEZ.2006
4,AFG,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ALB,Albania,0.010932061,0.016519455,0.021463909,0.025293485,0.034944632,0.042980428,0.046010374,0.051303227,0.133119434,0.11988697,0.103824975,0.106581456,0.120583097,0.095560052,0.154669244,0.129255288,0.113991517,0.102889227,0.095383115,0.081801529,0.054289265,0.051939165,0.048518127,0.075546144,0.076565081,0.07581715,0.078681246,0.106573173,0.123446604,0.105996769,0.10162405,0.093945995,0.092479696,0.249855995,0.264035508,0.292731194,0.285522819,0.299092678,0.324136955,0.280051515,0.35064868,0.272480011,0.242805665,0.208425344,0.22388907,0.227732784,0.205175714,0.177413447,0.175316443,0.152133918,0.172920926,0.159044538,0.088984948,0.049085272,0.067782576,0.061871727,0.075545141
12,DZA,Algeria,0.020092945,0.021888173,0.021761196,0.021099406,0.018142626,0.021143498,0.021710691,0.02567165,0.02939031,0.027509172,0.02493013,0.031930977,0.029152358,0.024999383,0.02987753,0.02654705,0.028767664,0.034072437,0.027308053,0.022440965,0.010612219,0.010158735,0.011190483,0.015156839,0.022645451,0.017313254,0.016985754,0.018650417,0.020918597,0.021592624,0.025608367,0.029065014,0.033564887,0.033541112,0.033613426,0.034031837,0.053335861,0.066743238,0.024914694,0.046986018,0.040614326,0.035194638,0.039390366,0.043502482,0.046738842,0.044146105,0.040915393,0.044730303,0.067106879,0.061651377,0.071268887,0.065072815,0.070349645,0.092638576,0.078261292,0.0881525,0.074353171
16,ASM,American Samoa,0.000232741,0.000282491,0.000403555,0.000591407,0.000502197,0.000623912,0.000860289,0.001291518,0.001260483,0.001411266,0.001196886,0.001090814,0.001102361,0.00113871,0.001041268,0.000952034,0.000849156,0.000820487,0.000627682,0.000663364,0.000398785,0.000361829,0.002014062,0.001737477,0.001854669,0.001706435,0.002114937,0.000261996,0.000707303,0.000591933,0.000752139,0.00068026,0.001476174,0.000896592,0.001304425,0.00185459,0.001409159,0.001420429,0.002105359,0.001814012,0.001825152,0.002063459,0.001742376,0.001816243,0.000967795,0.000969929,0.002372114,0.000701493,0.000978426,0.000590902,0.000586745,0.000374025,0.000474597,0.000452282,0.000443147,0.000422004,0.000272791
20,AND,Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,AGO,Angola,0.022122885,0.026084964,0.026469502,0.0347356,0.029874243,0.048924773,0.049549235,0.034986812,0.047325748,0.054733149,0.068572436,0.053441423,0.050667601,0.0386254,0.066380761,0.065444338,0.102398647,0.085461246,0.116351774,0.094447797,0.103859349,0.08745104,0.11649143,0.10577636,0.01657539,0.072439571,0.145765132,0.142085836,0.27873125,0.161982675,0.116862525,0.118435147,0.129003466,0.073690365,0.060952839,0.113129479,0.097147892,0.092237934,0.070688786,0.062912265,0.069609716,0.049148836,0.076118234,0.091165349,0.106193626,0.092982654,0.04337132,0.041218853,0.077055559,0.082738731,0.102736076,0.15202403,0.185265359,0.185151153,0.195481951,0.190957983,0.193227086
660,AIA,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.60E-05,4.22E-05,2.67E-05,2.29E-05,4.59E-05,3.77E-05,4.28E-05,7.56E-05,8.34E-05,0.000941671,0.000929716,0.001120749,0.001078544,0.000935913,1.17E-05,1.17E-05,1.17E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,5.13E-05,4.43E-05,3.96E-05,3.26E-05,2.56E-05,1.17E-05,4.20E-05,1.86E-05,2.10E-05,1.17E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05
28,ATG,Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.42E-05,5.26E-05,3.74E-05,3.10E-05,6.58E-05,5.08E-05,5.92E-05,9.11E-05,0.000106067,0.00122083,0.001194388,0.001440123,0.00138956,0.001202199,0.003043209,0.005944066,0.007514052,0.011248114,0.015709866,NA,NA,NA,NA,NA,0.000298631,0.000238905,0.000199087,0.000207051,0.000348403,0.000400166,0.001045209,0.001031272,0.000686851,0.000583326,0.0005236,0.000672915,0.000686851,0.000627125,0.001884809,0.002248385,0.002689839,0.003093869,0.003147476,0.003085487
32,ARG,Argentina,0.029258705,0.034738666,0.039983866,0.041657381,0.037147326,0.035307307,0.041337141,0.035694354,0.041639504,0.043183138,0.043248456,0.040735757,0.052462776,0.066656655,0.097454401,0.144890124,0.250279515,0.308592821,0.171850153,0.151301533,0.132854327,0.129824624,0.122065288,0.161857018,0.155356287,0.125612358,0.153466406,0.24508768,0.434179885,0.548348878,0.388307971,0.371226455,0.672054034,0.775147282,0.468450268,0.475032814,0.563786084,0.657911541,1.017146649,1.02538332,0.753730912,0.763704505,0.915782014,1.129498708,1.031092081,1.146634198,1.421026691,1.746105901,1.448380538,1.174674659,1.087587237,0.963844667,0.860525434,0.809907934,0.731149997,0.767602741,1.121604341
51,ARM,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
